OperatingSystem,Manufacturer,Username,Model,SerialNumber,ProcessorModel,ServicePackVer,MemoryCapacity,MaxClockSpeed,NumberOfCores,ComputerName,IsLaptop,NumberOfLogicalProcessors
Microsoft Windows 7 Professional ,Dell Inc.,GGBBS.Line,OptiPlex 780                 ,6XXDQ4J,Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz,1,4294967296,3059,2,SEL-D0487,False,2
Microsoft Windows 7 Professional ,HP,daniel.wragg,HP 280 G2 MT (Non-Legacy) ,CZC6369CSQ,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,8589934592,3401,4,SEL-D0543,False,8
Microsoft Windows 7 Professional ,HP,robert.gee,HP 280 G2 MT (Non-Legacy) ,CZC6369CTD,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,8589934592,3401,4,SEL-D0544,False,8
Microsoft Windows 10 Pro,HP,Chris.Wright,HP 280 G2 MT (Non-Legacy) ,CZC6369CRG,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,0,8589934592,3408,4,SEL-D0545,False,8
Microsoft Windows 7 Professional ,Dell Inc.,Woodgrainp,OptiPlex 760                 ,B1KRJ4J,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1,4294967296,2926,2,SEL-D0612,False,2
Microsoft Windows 7 Professional ,Dell Inc.,Ext.Print1,OptiPlex 760                 ,51KRJ4J,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1,4294967296,2926,2,SEL-D0613,False,2
Microsoft Windows 7 Professional ,Dell Inc.,Inj.Print,OptiPlex 760                 ,31KRJ4J,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1,4294967296,2925,2,SEL-D0614,False,2
Microsoft Windows 7 Professional ,HP,alyssa.hunter,HP 280 G2 MT (Non-Legacy) ,CZC6249M2P,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,8589934592,3401,4,SEL-D0641,False,8
Microsoft Windows 10 Pro,HP,KRHODES,HP 285 G2 MT,CZC73680CV,AMD A8 PRO-7600B R7,0,8589934592,3100,2,SEL-D0654,False,4
Microsoft Windows 10 Pro,HP,Becky.whitehead,HP ProDesk 400 G4 SFF ,CZC7328284,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,0,8589934592,3192,4,SEL-D0692,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,phil.brown,HP Z420 Workstation,CZC5072NFJ,Intel(R) Xeon(R) CPU E5-1650 v2 @ 3.50GHz,0,34359738368,3501,6,SEL-D0745,False,12
Microsoft Windows 10 Pro,HP,nelda.skadina,HP ProDesk 400 G4 SFF ,CZC7267VQL,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,0,8589934592,3192,4,SEL-D6030,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Chris.Fell,HP Compaq 8200 Elite SFF PC,CZC2089ZC2,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,1,8589934592,3101,4,SEL-D9023,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,catherine.meloy,HP EliteBook 840 G2,5CG6090WR2,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,0,8589934592,2301,2,SEL-L0005,True,4
Microsoft Windows 7 Professional ,Panasonic Corporation,mark.morland,CF-19RHR23PE,1FKCA60067,Intel(R) Core(TM) i5 CPU       U 540  @ 1.20GHz,1,6450839552,1200,2,SEL-L0006,True,4
Microsoft Windows 7 Professional ,HP,emily-mae.anderson,HP ProBook 650 G2,5CG6282RNZ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,1,8589934592,2301,2,SEL-L0593,True,4
Microsoft Windows 10 Pro,HP,hannah.oakden,HP ProBook 640 G3,5CG7450G5K,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,0,4294967296,2712,2,SEL-L0643,True,4
Microsoft Windows 7 Professional ,Hewlett-Packard,andrew.payne,HP 260 G1 DM,4CH5393K75,Intel(R) Pentium(R) 3558U @ 1.70GHz,1,4294967296,1701,2,SEL-RAF01,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,raf02,HP 260 G1 DM,4CH5393K7N,Intel(R) Pentium(R) 3558U @ 1.70GHz,1,4294967296,1701,2,SEL-RAF02,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,raf01,HP 260 G1 DM,4CH5393K7C,Intel(R) Pentium(R) 3558U @ 1.70GHz,1,4294967296,1701,2,SEL-RAF03,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,raf04,HP 260 G1 DM,4CH5393K7G,Intel(R) Pentium(R) 3558U @ 1.70GHz,1,4294967296,1701,2,SEL-RAF04,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,raf05,HP 260 G1 DM,4CH5393K72,Intel(R) Pentium(R) 3558U @ 1.70GHz,1,4294967296,1701,2,SEL-RAF05,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,raf13,HP 260 G1 DM,4CH5393K6Y,Intel(R) Pentium(R) 3558U @ 1.70GHz,1,4294967296,1701,2,SEL-RAF09,False,2
Microsoft Windows Server 2012 R2 Standard,VMware,SA.Ashley.Collinge,VMware Virtual Platform,VMware-42 16 5a 18 6b d3 69 0b-e7 25 f1 24 26 6d 65 9d,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,0,8589934592,2397,1,SEL-V-PYDEV,False,1
Microsoft Windows 10 Pro,HP,sam.nial,HP ProDesk 400 G2.5 SFF,CZC6021XK1,Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,0,4294967296,3700,2,SEL-VG-02,False,4
Microsoft Windows 10 Pro,FUJITSU                         ,kevin.yates,ESPRIMO E3521                 ,YL5J094178          ,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,0,4294967296,3200,2,SEL-VG-10,False,2
Microsoft Windows 10 Pro,Hewlett-Packard,sam.nial,HP 600B,CZC2383M8Z,Intel(R) Pentium(R) CPU G640T @ 2.40GHz,0,8589934592,2400,2,SEL-VG-16,False,2
Microsoft Windows 10 Pro,Hewlett-Packard,andy.cairns,HP 350 G2,5CG5345GX9,Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz,0,4294967296,1901,2,SEL-VG-20,True,4
Microsoft Windows 10 Pro,Acer,tomasz.bieniek,Veriton M2631G,DTVK8EK00241109AE79600,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,0,4294967296,3400,2,SEL-VG-23,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,kerrie.kirk,HP ProBook 650 G1,5CG45113Y0,Intel(R) Core(TM) i3-4000M CPU @ 2.40GHz,1,8589934592,2400,2,SEL00491,True,4
Microsoft Windows 7 Professional ,HP,Charlotte.Murray,HP 280 G2 MT (Non-Legacy) ,CZC6219DHJ,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,1,4294967296,3201,4,SEL00503,False,4
Microsoft Windows 7 Professional ,HP,paula.hughes,HP 280 G2 MT (Non-Legacy) ,CZC6227V8N,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,1,4294967296,3201,4,SEL00508,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,sharon.cross,HP 500B Microtower,CZC1063HJ2,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,1,4294967296,3203,2,SEL0079,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,alan.clarke,HP 500B Microtower,CZC1077BJS,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,1,2147483648,3203,2,SEL0083,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Mike.Pearson,HP Pro 3130 Microtower PC,CZC1120MB7,Intel(R) Core(TM) i5 CPU         650  @ 3.20GHz,1,8589934592,3201,2,SEL0084,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,SarahD,HP Pro 3135 Microtower PC,CZC1137FCC,AMD Athlon(tm) II X2 250 Processor,1,4294967296,3000,2,SEL0116,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,ian.cranshaw,HP Pro 3300 Series MT,CZC1396PML,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,1,8589934592,2501,4,SEL0120,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,philw,HP Pro 3300 Series MT,CZC1396PK3,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,1,8589934592,2501,4,SEL0121,False,4
Microsoft Windows 10 Pro,Hewlett-Packard,lewis.draper,HP 500B Microtower,CZC1321S46,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,0,2147483648,3203,2,SEL0124,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,miwa.takaoka,HP Pro 3300 Series MT,CZC1396PKL,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,1,8589934592,2501,4,SEL0126,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,mark.cooper,HP 500B Microtower,CZC13760QP,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,1,4294967296,3200,2,SEL01362,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,paul.woodhead,HP Pro 3400 Series MT,CZC2228TVN,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,8589934592,2700,2,SEL0155,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Laura.Roberts,HP Pro 3400 Series MT,CZC2227HRC,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,4294967296,2700,2,SEL0159,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Angelika.Polowniak,HP Pro 3400 Series MT,CZC2227HK8,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,2147483648,2700,2,SEL0160,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,AARON,HP Pro 3400 Series MT,CZC2164TFH,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,4294967296,2700,2,SEL0163,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,charlotte.askew,HP Pro 3400 Series MT,CZC2164TFC,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,8589934592,2700,2,SEL0168,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,mellony.machin,HP Pro 3405 Series,CZC22128QB,AMD A4-3420 APU with Radeon(tm) HD Graphics,1,2147483648,2800,2,SEL0173,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Cori.Short,HP Pro 3405 Series,CZC22128V3,AMD A4-3420 APU with Radeon(tm) HD Graphics,1,8589934592,2800,2,SEL0174,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,danny.cox,HP Pro 3505 Series ,CZC2343470,AMD A6-3620 APU with Radeon(tm) HD Graphics,1,4294967296,2200,4,SEL0177,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Alex.Tomlinson,HP Pro 3505 Series ,CZC23434GS,AMD A6-3620 APU with Radeon(tm) HD Graphics,1,4294967296,2200,4,SEL0179,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,stephen.ellis,HP Pro 3505 Series ,CZC2519LCB,AMD E2-3200 APU with Radeon(tm) HD Graphics,1,4294967296,2400,2,SEL0182,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Lizzie.Bowler,HP Pro 3505 Series ,CZC2519L93,AMD E2-3200 APU with Radeon(tm) HD Graphics,1,4294967296,2400,2,SEL0184,False,2
Microsoft Windows 7 Professional ,Dell Inc.,elza.gaidule,OptiPlex 9020,BM60G82,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,1,8589934592,3201,4,SEL0187,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,front.desk,HP Pro 3515 Series,CZC3031MSG,AMD A4-5300 APU with Radeon(tm) HD Graphics    ,1,4294967296,3400,1,SEL0189,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,stevep,HP Compaq dx2420 Microtower,CZC9351GY8,Pentium(R) Dual-Core  CPU      E5200  @ 2.50GHz,1,2147483648,2500,2,SEL0194,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,James.Froggatt,HP Pro 3515 Series,CZC3031MSP,AMD A4-5300 APU with Radeon(tm) HD Graphics    ,1,4294967296,3400,1,SEL0199,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Jim.pears,HP Pro3500 Series,CZC3183T88,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,8589934592,3201,4,SEL0206,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,David.Hughes,HP Pro3500 Series,CZC3217J17,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,4294967296,3201,4,SEL0208,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Carol-Ann.Martin,HP Pro3500 Series,CZC3217J1G,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,6442450944,3201,4,SEL0210,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Sharon,HP 600B,CZC32570R9,Intel(R) Core(TM) i3-3220T CPU @ 2.80GHz,1,4294967296,2800,2,SEL0213,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,trevor.young,HP Compaq dx2420 Microtower,CZC9355MJB,Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz,1,2147483648,2600,2,SEL0218,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Gary.Bettison,HP 600B,CZC3234J5L,Intel(R) Pentium(R) CPU G2020T @ 2.50GHz,1,4294967296,2500,2,SEL0220,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Janet.Hallam,HP 600B,CZC32429FL,Intel(R) Core(TM) i3-3220T CPU @ 2.80GHz,1,4294967296,2800,2,SEL0224,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,colin.poole,HP Pro 3500 Series,CZC241C0FT,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,17179869184,3201,4,SEL0233,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,AMY,HP Pro3500 Series,CZC3370J3W,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,1,8589934592,3201,4,SEL0236,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,lee.bradbury,HP Pro3500 Series,CZC3374W9D,Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,1,4294967296,3000,2,SEL0237,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,tnicholls,Compaq 500B Microtower,CZC9503VKD,Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz,1,2147483648,2603,2,SEL0244,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,hannah.byard,HP Pro3500 Series,CZC3255HG4,Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,1,4294967296,3000,2,SEL0245,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,EXTRUSIONS.MAINTENAN,HP Pro3500 Series,CZC3254S7Q,Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,1,4294967296,3000,2,SEL0250,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,ben.foulds,HP Elite 7500 Series MT ,CZC40401KW,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,1,17179869184,3401,4,SEL0251,False,8
Microsoft Windows 7 Professional ,Hewlett-Packard,Kev,HP ProDesk 490 G1 MT,CZC4070YMY,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,1,8589934592,3401,4,SEL0253,False,8
Microsoft Windows 7 Professional ,Hewlett-Packard,neil.gooding,HP ProDesk 400 G1 MT,CZC4011R55,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,8589934592,3000,2,SEL0257,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Penny.Wilkinson,HP ProDesk 400 G1 MT,CZC4075K8F,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,8589934592,3000,2,SEL0262,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,PETERS,Compaq 500B Microtower,CZC9503VK0,Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz,1,2147483648,2603,2,SEL0263,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Kim.Hayes,HP ProDesk 400 G1 MT,CZC4075K8P,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,4294967296,3000,2,SEL0265,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,adam.whomsley,HP ProDesk 405 G1 MT,CZC4190L72,AMD A4-5000 APU with Radeon(TM) HD Graphics    ,1,4294967296,1500,4,SEL0272,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,sarah.chambers,HP ProDesk 405 G1 MT,CZC4190L9S,AMD A4-5000 APU with Radeon(TM) HD Graphics    ,1,4294967296,1500,4,SEL0278,False,4
Microsoft Windows 7 Professional ,Acer,pl.scanner,Veriton X2631G,DTVKBEK002411034219600,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,1,4294967296,3400,2,SEL0279,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Mark.Gibson,HP ProDesk 405 G1 MT,CZC4231J91,AMD A4-5000 APU with Radeon(TM) HD Graphics    ,1,4294967296,1500,4,SEL0281,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Dave.Hyatt,HP ProDesk 400 G1 MT,CZC41650NV,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,4294967296,3000,2,SEL0283,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Matt.Truman,HP ProDesk 400 G1 MT,CZC41650NY,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,4294967296,3000,2,SEL0284,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Andriy.Belizky,HP ProDesk 405 G1 MT,CZC42147T1,AMD A4-5000 APU with Radeon(TM) HD Graphics    ,1,4294967296,1500,4,SEL0285,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,paulina.dzielak,HP ProDesk 405 G1 MT,CZC42147KH,AMD A4-5000 APU with Radeon(TM) HD Graphics    ,1,4294967296,1500,4,SEL0288,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,rachel.boulton,HP ProDesk 400 G1 MT,CZC4261Y5J,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,4294967296,3201,4,SEL0302,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,Tracy.may,HP ProDesk 400 G1 MT,CZC426367C,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,1,4294967296,3000,2,SEL0305,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Jonathan.Gilderdale,HP Compaq dx2420 Microtower,CZC9355MKP,Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz,1,4294967296,2600,2,SEL0307,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Kim.Cully,HP Pro 3400 Series MT,CZC2228TDS,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,8589934592,2700,2,SEL0310,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,sally.pikett,HP ProDesk 400 G1 MT,CZC42550VH,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,1,4294967296,3400,2,SEL0313,False,4
Microsoft Windows 7 Professional ,Hewlett-Packard,josh.johnson,HP 500B Microtower,CZC1301WTW,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz,1,2147483648,3203,2,SEL0316,False,2
Microsoft Windows 7 Professional ,Hewlett-Packard,Lindsay.West,HP Pro 3400 Series MT,CZC2227HR6,Intel(R) Pentium(R) CPU G630 @ 2.70GHz,1,2147483648,2700,2,SEL0322,False,2
